10000 40000
1066 2525 23
1066 5284 92
1066 5523 76
1066 5675 30
1066 8084 22
1066 9046 79
1067 377 5
1067 2037 35
1067 5030 80
1067 5778 73
1067 6307 62
1067 7344 5
1067 7728 40
1067 8965 4
1067 9728 22
1068 616 1
1068 9698 9
1069 870 32
1069 1703 78
1069 2061 33
1069 5739 5
1069 7380 50
1069 7573 44
1070 446 54
1070 3019 88
1070 4298 86
1070 5703 54
1070 9515 60
1072 4082 24
1072 8900 62
1072 9477 62
1073 1778 2
1073 6460 54
1073 7891 16
1074 757 2
1074 3945 85
1074 4074 34
1074 9948 54
1075 1545 12
1075 3753 62
1075 4955 41
1075 9263 51
1076 32 7
1076 172 34
1076 209 46
1076 5443 27
1076 7225 29
1077 1340 51
1077 2874 42
1077 2902 16
1077 3480 22
1077 5995 11
1077 7262 85
1077 7721 26
1078 177 1
1078 1866 10
1078 2747 4
1078 9081 70
1079 6009 43
1079 9964 76
1080 176 43
1080 1925 11
1080 2738 89
1080 7298 91
1080 9290 70
1081 2382 89
1081 6342 59
1081 7511 7
1082 443 33
1082 1188 43
1082 3139 67
1082 5423 55
1083 1289 85
1083 2059 57
1083 3217 21
1083 5928 0
1083 8908 21
1084 592 25
1084 5124 76
1084 7214 11
1085 6009 10
1085 8039 5
1086 1558 74
1086 2483 25
1086 3776 95
1086 5220 63
1086 6208 52
1087 847 87
1087 1981 44
1087 6243 1
1087 8235 6
1087 9649 10
1088 1563 34
1088 2432 26
1088 2979 40
1088 2997 20
1088 3368 3
1088 5948 0
1088 8854 13
1089 119 48
1089 341 0
1089 3864 4
1089 3967 50
1089 7098 97
1090 2885 16
1090 5138 76
1090 5449 87
1090 7826 26
1091 82 3
1091 2524 79
1091 2899 31
1091 3058 23
1091 5510 46
1092 4318 15
1092 4987 99
1092 5905 76
1092 8742 32
1092 9406 43
1093 69 60
1093 1500 95
1093 2083 49
1093 4144 36
1093 5079 41
1093 5249 96
1093 8456 65
1094 227 93
1094 499 21
1094 2034 99
1094 2576 95
1094 5991 77
1094 8303 49
1094 8342 7
1094 8625 45
1095 1315 68
1095 7941 17
1095 8995 44
1096 257 59
1096 1578 96
1096 7563 0
1096 9862 23
1097 41 6
1097 155 83
1097 539 63
1097 5424 40
1098 122 70
1098 4314 20
1098 5550 37
1098 8179 50
1098 9744 9
1099 2074 36
1099 6402 90
1099 8626 20
1100 565 29
1100 721 40
1100 1144 2
1100 7256 66
1100 7551 76
1100 9182 5
1101 475 35
1101 713 27
1101 1006 46
1101 1400 23
1101 2259 34
1101 7114 85
1102 5003 26
1102 9714 2
1103 5845 72
1104 32 16
1104 1292 89
1104 3077 20
1104 6588 98
1105 1697 17
1105 2130 37
1105 2938 56
1106 2031 78
1106 3113 62
1106 3285 50
1106 8639 98
1107 4245 25
1107 4627 32
1107 5062 28
1107 6741 13
1107 7653 16
1108 2737 18
1108 3305 67
1108 4557 35
1108 4800 88
1108 5539 47
1108 9276 81
1109 731 87
1109 2596 14
1109 3784 67
1109 9661 83
1110 2057 66
1110 4325 54
1111 1145 84
1111 1566 74
1111 1860 86
1111 2182 56
1111 5892 58
1111 7714 48
1111 8704 35
1112 13 37
1112 1182 35
1112 1471 0
1112 2035 68
1112 6524 15
1112 7730 22
1112 8993 95
1113 389 10
1113 2056 89
1113 2105 79
1113 2232 12
1113 2483 34
1113 7070 71
1114 3985 31
1114 6298 50
1114 7103 0
1114 8246 98
1115 3737 71
1115 4651 21
1115 7103 91
1115 7860 57
1115 8002 83
1115 8774 25
1116 104 81
1116 1304 46
1116 1955 61
1116 3876 67
1116 6619 80
1116 8889 21
1117 2773 50
1117 3055 59
1117 3227 66
1117 3791 20
1118 448 24
1119 1200 25
1120 1570 44
1120 2255 50
1120 5134 41
1121 1278 7
1121 2361 85
1121 4972 96
1121 5457 74
1121 7999 1
1121 8142 57
1122 13 0
1122 744 10
1122 807 73
1122 874 84
1122 969 56
1122 1931 19
1122 6053 97
1122 6108 8
1122 7357 37
1122 8876 58
1122 9098 99
1123 749 31
1123 1825 32
1123 2634 7
1124 1208 45
1124 3050 67
1125 670 25
1125 1415 36
1125 2789 80
1125 7413 79
1126 4486 43
1127 3361 43
1127 4633 40
1127 5157 51
1128 42 67
1128 1012 83
1128 1465 29
1128 1642 41
1128 8427 24
1129 1852 53
1129 2185 0
1129 5094 51
1129 5579 53
1129 5768 45
1130 440 94
1130 7051 43
1130 7385 63
1131 1289 52
1131 3895 80
1131 7097 71
1131 7643 15
1132 2203 11
1132 4822 77
1132 7876 5
1133 148 13
1133 363 80
1133 760 21
1133 858 24
1133 4901 36
1133 8789 77
1134 4042 89
1134 4478 16
1135 2245 73
1135 4179 17
1135 5748 31
1136 512 72
1136 2065 5
1136 4992 67
1136 6630 14
1136 7417 33
1136 8210 62
1136 8523 24
1136 8594 40
1136 9312 18
1137 4020 31
1137 4890 63
1138 221 93
1138 682 78
1138 1546 85
1138 2940 14
1138 3983 35
1138 8649 64
1139 2285 60
1139 2631 85
1139 5190 14
1139 5752 65
1139 5806 45
1139 6067 56
1139 8518 80
1139 9232 33
1140 1188 22
1140 6286 91
1140 6863 16
1141 3781 98
1141 4333 21
1141 7763 4
1141 8592 15
1141 9669 66
1141 9699 80
1142 670 97
1142 2444 55
1143 14 99
1143 293 66
1143 2003 7
1143 3694 18
1143 4741 94
1143 8884 86
1144 4510 31
1144 6234 88
1144 7279 4
1144 9909 22
1145 1126 53
1145 3787 23
1145 7677 10
1145 8461 81
1146 579 33
1146 1453 16
1146 1969 52
1146 2186 49
1146 2554 77
1146 5339 59
1146 9700 38
1147 1423 24
1147 2265 91
1147 2681 24
1147 3744 78
1147 6463 13
1147 8925 41
1148 7246 74
1148 8928 61
1149 135 90
1149 1773 70
1149 4224 95
1149 4873 39
1149 5814 61
1149 6478 7
1150 1864 3
1150 2026 64
1150 4204 59
1150 8023 9
1150 8260 7
1151 9841 66
1152 160 10
1152 560 90
1152 903 93
1152 1282 5
1152 3467 64
1152 5956 49
1152 6246 58
1152 6555 3
1152 9940 90
1153 1308 67
1153 1520 90
1153 2035 1
1153 3651 26
1153 3815 59
1153 9850 78
1154 28 40
1154 298 96
1154 433 54
1154 593 59
1154 2241 42
1154 2482 19
1154 9041 55
1155 1577 48
1155 2855 90
1155 3728 55
1155 7587 57
1155 8279 82
1155 9648 53
1156 345 51
1156 2442 49
1156 3819 48
1156 3842 45
1156 4121 75
1156 4820 32
1156 4981 95
1156 5943 55
1156 6960 94
1157 512 49
1157 1440 55
1157 1639 88
1157 2593 74
1157 2742 53
1157 5668 56
1157 8128 94
1157 8170 45
1158 3119 79
1158 4271 33
1158 4446 69
1158 5313 24
1158 5606 38
1158 6612 82
1159 42 39
1159 8544 38
1159 8750 56
1159 9733 49
1160 1405 25
1160 1831 86
1160 5437 43
1160 7627 90
1160 9495 87
1160 9761 52
1161 2040 59
1161 3097 10
1161 5227 39
1161 7037 60
1161 8613 45
1161 8842 92
1162 3618 45
1162 6326 72
1163 1165 11
1163 1612 74
1163 2326 99
1163 2914 11
1163 4347 18
1163 7700 31
1163 8892 90
1164 6356 42
1164 6907 58
1164 7050 34
1164 9817 86
1165 198 85
1165 1287 75
1165 8897 88
1165 9240 28
1165 9498 14
1166 2457 89
1166 4583 43
1166 5355 62
1166 5535 73
1166 8500 85
1167 2197 6
1167 2887 80
1167 4099 38
1167 7466 34
1168 1521 98
1168 2279 39
1168 6418 2
1168 6871 23
1168 7077 92
1168 9399 30
1169 1071 51
1169 1300 75
1169 2579 45
1169 2649 42
1169 5764 55
1169 9970 84
1170 188 2
1170 434 25
1170 3890 24
1170 4061 64
1170 6859 64
1171 654 47
1171 1650 63
1171 4993 29
1171 6690 48
1172 444 94
1172 5752 43
1172 6251 92
1172 7016 78
1172 7968 58
1173 2291 84
1173 3214 30
1173 3454 9
1173 8508 26
1174 582 39
1174 1026 35
1174 1227 77
1174 5291 76
1174 8033 36
1175 478 38
1175 1511 59
1175 2043 73
1175 3124 62
1175 3413 69
1175 5320 82
1175 9356 72
1176 690 28
1176 2636 74
1176 3070 89
1176 3712 96
1176 4768 53
1176 6822 21
1176 7725 66
1177 1124 88
1177 1865 50
1177 1940 11
1177 6464 57
1178 4872 37
1178 5922 67
1178 6675 21
1179 1312 63
1179 2772 54
1179 3412 63
1179 5177 70
1179 7878 49
1180 1956 26
1180 2196 99
1180 2537 49
1180 5362 52
1180 6464 38
1180 7818 28
1180 9018 48
1180 9115 11
1180 9189 2
1181 1589 39
1181 2741 91
1181 3820 89
1181 4219 85
1181 4869 20
1181 5215 49
1181 9159 69
1181 9420 81
1182 893 63
1182 1225 28
1182 1935 55
1182 7327 42
1182 7896 39
1183 1508 86
1183 2201 63
1183 6345 28
1183 8177 20
1184 109 43
1184 531 65
1184 2084 29
1184 2272 69
1184 2529 46
1184 5104 24
1184 6402 53
1184 8074 19
1184 9649 50
1185 53 12
1185 210 20
1185 3993 78
1185 4850 91
1185 6605 67
1186 1719 66
1186 3533 50
1186 8965 96
1186 9816 79
1187 1866 15
1187 6822 98
1188 513 87
1188 3933 23
1188 5140 8
1188 6782 12
1189 612 56
1189 1017 63
1189 5800 94
1189 9104 30
1189 9421 32
1189 9543 45
1190 2881 87
1190 5484 19
1190 5589 47
1190 6658 77
1190 7341 97
1191 816 88
1191 5639 77
1191 6861 36
1191 7305 8
1192 462 49
1192 1454 69
1192 1555 14
1192 1631 59
1192 5967 87
1192 9645 55
1193 2665 68
1193 5627 36
1193 6829 17
1193 8043 8
1193 9877 50
1194 979 2
1194 1218 34
1194 6391 94
1195 1365 32
1195 1983 94
1195 4060 6
1195 7637 78
1195 8024 67
1195 8198 0
1196 5 33
1196 832 33
1196 1948 72
1196 7462 33
1196 9132 44
1196 9261 0
1197 2468 56
1197 6656 9
1197 7947 30
1198 8340 8
1199 79 54
1199 4935 1
1199 5491 41
1199 5634 49
1199 6021 57
1199 6371 64
1200 2223 43
1200 3979 36
1200 5166 69
1200 6231 48
1200 6860 57
1200 8307 89
1201 2493 83
1201 3328 42
1201 4804 8
1201 5005 56
1202 5243 77
1202 8469 47
1203 2427 88
1203 4182 22
1203 7372 50
1203 9658 94
1204 802 85
1204 1163 30
1204 1714 51
1204 3202 98
1204 4136 97
1204 5053 20
1204 6295 34
1204 7795 62
1204 9523 60
1204 9978 80
1205 4152 39
1205 6783 38
1205 8798 47
1205 9242 68
1205 9711 40
1206 219 94
1206 251 99
1206 2077 92
1206 2106 2
1206 3398 30
1206 5874 86
1206 9561 29
1206 9626 92
1207 2076 12
1207 2570 37
1207 4100 97
1207 8954 42
1208 4510 31
1209 263 60
1209 2199 49
1209 4623 1
1210 853 61
1210 3934 91
1210 7058 16
1210 8950 0
1211 3896 61
1211 4689 2
1211 6642 14
1211 8766 10
1212 1629 57
1212 6679 49
1212 8083 76
1213 3207 46
1213 3641 6
1213 4545 6
1213 5370 36
1213 9005 87
1214 953 28
1214 2424 67
1214 4232 34
1214 4520 71
1214 4817 55
1214 9717 43
1215 58 75
1215 540 82
1215 2343 95
1215 9382 87
1215 9717 53
1216 5218 62
1216 5342 88
1217 365 11
1217 1651 64
1217 2744 24
1218 7255 85
1218 9888 45
1219 1365 17
1219 2281 91
1219 3717 93
1219 5166 78
1219 5216 42
1219 7759 40
1220 2335 16
1220 5719 68
1221 237 4
1221 1483 28
1221 3309 15
1222 186 21
1222 980 40
1222 6567 41
1223 3451 64
1223 3637 49
1223 7094 40
1223 8280 5
1223 9125 57
1223 9468 6
1224 1942 14
1224 5909 85
1224 7576 75
1224 9055 87
1225 2112 10
1225 3303 19
1225 7738 2
1225 9738 9
1226 1328 39
1226 1507 23
1226 2753 74
1226 3603 4
1226 3685 96
1226 4796 84
1226 5933 28
1226 6338 60
1226 9000 43
1227 791 13
1227 1253 92
1227 2016 63
1227 3798 63
1228 2368 96
1228 3710 60
1228 7541 59
1228 8591 58
1228 9235 0
1228 9409 64
1228 9753 9
1229 322 28
1229 3716 32
1229 5506 67
1229 7574 89
1229 7815 37
1229 7866 73
1229 9082 90
1229 9740 80
1230 435 24
1230 3449 47
1230 3954 1
1230 7188 52
1230 7398 92
1230 8289 55
1230 9095 11
1230 9207 9
1231 661 91
1231 2648 15
1231 3995 29
1231 7284 38
1233 119 59
1234 4448 60
1234 6266 47
1234 6827 94
1234 7175 50
1235 4719 63
1235 7735 88
1235 8678 16
1235 8698 66
1235 8982 56
1236 2195 17
1236 3329 11
1236 5323 68
1236 6644 41
1236 9413 47
1237 2262 71
1237 9920 19
1238 953 87
1238 3081 14
1238 3313 17
1238 5456 3
1239 1033 73
1239 2259 35
1239 3650 16
1239 5152 30
1239 6239 65
1239 8246 75
1240 3078 85
1240 5087 43
1240 5527 7
1240 7813 74
1241 3157 87
1241 6372 28
1241 8157 15
1242 1575 49
1242 2671 56
1242 4353 68
1242 5687 58
1242 7719 17
1242 9373 20
1243 2345 39
1243 3890 63
1243 4034 68
1243 4845 68
1243 5804 43
1243 7209 3
1243 9295 27
1243 9338 84
1243 9929 14
1244 980 53
1244 1619 66
1244 2549 94
1244 3340 37
1244 7071 67
1245 1903 96
1245 2764 38
1245 4704 53
1245 4773 87
1245 7247 68
1245 7584 23
1245 8275 47
1245 9532 62
1246 1037 30
1246 1564 46
1246 3220 97
1246 8093 19
1247 571 46
1247 925 80
1247 3285 39
1247 3584 48
1247 3784 18
1247 4312 5
1247 5702 7
1247 8606 24
1248 2242 48
1248 2760 13
1248 3149 46
1248 3941 65
1248 4294 23
1248 6652 50
1248 8547 36
1249 1634 66
1249 1976 65
1249 3912 77
1249 4156 10
1249 6709 58
1250 3044 42
1250 3261 80
1250 4092 15
1250 7274 99
1250 8433 68
1251 1273 28
1251 1611 82
1251 2073 47
1251 3536 38
1251 5508 85
1251 6370 20
1251 7887 77
1252 1227 67
1252 1623 24
1252 2434 27
1252 3665 90
1252 3685 86
1252 5947 45
1252 6616 19
1253 3731 89
1253 8531 23
1254 674 8
1254 980 71
1254 3477 32
1254 3719 88
1254 5532 1
1254 7917 65
1254 9007 98
1255 2576 32
1255 2752 51
1255 6247 97
1255 7473 36
1255 8064 10
1255 8251 77
1255 9791 15
1256 1928 15
1256 2454 3
1256 2498 33
1256 7236 83
1256 9093 1
1257 6572 80
1258 3419 45
1258 7678 63
1259 457 3
1259 845 88
1259 2091 55
1260 251 7
1260 1603 92
1260 3558 18
1260 4989 22
1260 5045 78
1260 8030 56
1261 5130 99
1261 6115 7
1261 6762 23
1262 430 29
1262 580 14
1262 1208 26
1262 2135 68
1262 3190 20
1262 4000 24
1262 4139 52
1262 6510 13
1262 7874 2
1262 9389 86
1263 5691 82
1263 6461 46
1263 6959 6
1264 1256 69
1264 3316 89
1264 4132 61
1264 5081 47
1264 5118 78
1265 632 82
1265 850 74
1265 1590 91
1265 2670 77
1265 3472 37
1265 5849 56
1266 1039 86
1266 2826 95
1266 3101 58
1266 3764 23
1266 4735 31
1266 7986 10
1266 8055 43
1267 1749 65
1267 3751 19
1267 7156 93
1267 8227 27
1267 8287 88
1267 8564 44
1267 9185 28
1268 1328 87
1268 1374 52
1268 6282 97
1268 7002 81
1269 1229 56
1269 2570 71
1269 3199 86
1269 6248 37
1269 7110 20
1270 784 38
1270 2372 49
1270 3536 26
1270 3836 14
1270 5686 9
1270 6442 76
1270 6620 89
1270 9683 98
1270 9821 26
1271 943 66
1271 5842 94
1271 9754 3
1272 207 72
1272 486 77
1272 1088 13
1272 1222 65
1272 5620 11
1272 7982 16
1272 9264 20
1273 666 12
1273 2850 14
1273 3430 56
1273 5075 93
1273 6875 22
1273 7723 89
1274 884 29
1274 1522 17
1274 2483 77
1274 3360 41
1274 7077 40
1275 7040 76
1275 9422 89
1276 1506 2
1276 3472 74
1276 4265 75
1276 6909 43
1277 506 7
1277 1067 23
1277 1281 71
1277 1486 17
1277 3576 96
1277 3741 23
1277 4366 60
1277 5496 57
1277 9409 70
1278 1273 90
1278 5960 24
1278 6176 42
1278 7251 75
1279 1895 97
1279 2547 10
1279 4486 0
1279 5950 67
1279 6980 9
1279 7354 65
1279 8008 61
1279 9024 52
1280 829 35
1280 5017 14
1280 5193 21
1280 6301 85
1280 6883 10
1281 1688 9
1281 6077 82
1281 7725 83
1281 7987 20
1282 639 26
1282 5477 71
1282 5616 98
1282 8326 58
1282 8441 12
1282 8823 12
1283 141 89
1283 1765 96
1283 3263 65
1283 4516 61
1283 6057 42
1284 961 35
1284 2944 59
1284 3201 69
1284 3267 10
1284 7516 26
1285 2125 31
1285 9827 88
1286 183 37
1286 1851 0
1286 1852 19
1286 2240 51
1286 2362 55
1286 3064 0
1286 3380 45
1286 6090 2
1286 7319 45
1286 7856 7
1287 112 36
1287 586 64
1287 1450 26
1287 2203 37
1287 2441 91
1287 3545 0
1287 6323 20
1287 6684 70
1287 9890 43
1288 85 51
1288 1021 27
1288 2372 36
1288 2450 38
1288 4298 79
1288 6095 38
1289 734 39
1289 2168 90
1289 7152 44
1289 7804 52
1289 8553 91
1290 1241 64
1290 2036 60
1290 2197 71
1290 4349 55
1291 90 60
1291 1518 35
1291 7118 94
1291 8469 40
1292 614 39
1292 670 80
1292 3919 32
1292 5474 11
1292 6834 4
1292 7947 18
1292 9505 27
1293 549 46
1293 979 10
1293 2190 97
1293 4084 9
1293 6752 48
1294 183 83
1294 1329 58
1294 2363 5
1294 2744 87
1294 6414 77
1294 8426 87
1295 7013 46
1295 8095 10
1295 8533 73
1295 9220 49
1296 3300 69
1296 4307 85
1296 4711 49
1296 6600 30
1296 7653 11
1296 8854 20
1297 2244 88
1297 8746 83
1297 8902 44
1297 9294 4
1298 251 28
1298 2232 47
1298 4707 62
1298 7178 88
1299 2726 74
1299 3566 54
1299 3631 44
1299 4890 93
1299 5713 70
1299 6401 48
1300 1768 23
1300 7710 16
1300 9424 64
1301 2444 81
1301 5526 20
1301 6384 28
1301 6829 22
1301 7423 98
1301 7845 86
1302 587 25
1302 3481 67
1302 3559 20
1302 7304 98
1303 229 14
1303 244 98
1303 1192 23
1303 2001 45
1303 3005 39
1303 5334 90
1303 5674 85
1303 6360 39
1304 301 29
1304 863 79
1304 1850 12
1304 2732 54
1304 3163 62
1304 3371 85
1304 4368 96
1304 5371 19
1304 9959 85
1305 626 14
1305 1756 29
1305 3730 32
1306 7066 22
1307 2336 71
1307 5275 78
1307 6305 54
1307 7498 51
1308 2531 55
1308 3587 85
1308 3733 93
1308 9336 21
1308 9821 4
1309 1379 55
1309 2859 3
1309 5279 41
1309 5662 76
1309 5744 93
1310 629 6
1310 940 99
1310 1861 51
1310 4261 92
1310 6122 23
1310 7224 59
1311 1259 21
1311 1922 57
1311 2655 93
1311 3075 31
1311 5778 10
1311 5995 35
1312 814 35
1312 1774 97
1312 4015 32
1312 5379 23
1312 5876 74
1312 6080 99
1312 9580 97
1312 9630 57
1313 1659 12
1313 3669 51
1313 6452 17
1313 7019 41
1313 7859 28
1314 28 29
1314 531 64
1314 1432 12
1314 5456 47
1314 7827 83
1314 9290 27
1315 541 66
1315 765 32
1315 1727 37
1315 1821 42
1315 3323 57
1316 671 86
1316 1215 75
1316 3906 3
1316 4727 30
1317 277 94
1317 2896 56
1317 6429 41
1317 6940 78
1318 221 79
1318 4258 91
1318 6858 50
1318 9764 29
1319 1928 8
1319 3441 14
1319 6674 59
1319 7579 53
1319 8914 42
1320 607 67
1320 2582 43
1320 9022 31
1321 1172 12
1321 1985 40
1321 3877 91
1321 4307 17
1321 5060 0
1321 6894 16
1321 9667 39
1322 333 73
1322 4795 17
1322 5653 92
1323 240 26
1323 5537 38
1323 5724 9
1323 6540 79
1323 9759 14
1324 2711 98
1324 5323 84
1325 528 99
1325 1022 56
1325 1344 3
1325 2144 23
1325 8313 23
1326 53 20
1326 1468 98
1326 2446 30
1326 2622 70
1326 5931 3
1327 5587 53
1328 1251 39
1328 1662 1
1328 7682 43
1328 8400 96
1329 3641 98
1329 3879 94
1329 4188 34
1329 5303 54
1329 8397 90
1330 1040 49
1330 1185 57
1330 2763 50
1330 4020 93
1330 6091 11
1330 9303 52
1331 879 41
1331 2459 7
1331 2930 76
1331 4056 41
1331 4199 3
1331 8084 40
1332 6837 18
1332 7198 45
1332 8427 32
1333 291 51
1333 1264 13
1333 2867 53
1333 3580 8
1333 4735 6
1333 5190 78
1333 7318 60
1333 7662 6
1333 8766 28
1334 620 71
1334 2044 19
1334 2052 76
1334 7605 42
1334 7841 21
1335 2104 26
1335 3615 82
1335 3835 0
1335 5921 1
1336 6234 89
1337 171 54
1337 5752 56
1337 5860 74
1337 7556 87
1338 1102 48
1338 1483 55
1339 1505 54
1339 3341 22
1339 9369 72
1340 910 93
1340 4985 69
1340 5686 21
1340 6491 43
1340 6899 30
1341 371 18
1341 845 20
1341 5934 42
1341 6935 2
1341 9412 15
1342 6190 92
1343 1067 33
1343 1604 0
1343 2347 29
1343 2478 35
1343 3076 64
1343 5865 85
1343 8731 51
1343 9368 44
1344 2736 37
1344 4362 89
1344 5880 10
1344 7415 18
1345 2237 97
1345 4082 94
1345 6103 30
1346 46 73
1346 1769 63
1346 4287 35
1347 3848 58
1347 5396 66
1347 5507 81
1348 283 11
1348 678 17
1348 781 43
1348 1105 63
1348 7953 60
1348 9865 22
1349 6411 43
1349 8330 34
1350 454 84
1350 557 52
1350 7606 95
1350 9648 87
1351 199 3
1351 234 50
1351 1152 72
1351 2225 54
1351 2974 21
1351 5909 72
1351 7378 65
1352 1348 11
1352 8219 96
1353 299 10
1353 5549 6
1353 7887 93
1354 1813 53
1354 1976 11
1354 2597 47
1354 3722 67
1354 5698 88
1354 6995 21
1354 8343 29
1354 8620 65
1354 9648 58
1354 9888 90
1355 24 62
1355 1015 31
1355 1025 47
1355 5533 44
1355 7402 72
1356 3626 5
1356 4901 74
1356 7012 57
1356 7837 41
1356 8301 60
1357 4640 92
1357 5300 31
1357 5372 74
1357 8349 70
1357 9191 97
1357 9216 76
1358 1111 81
1358 1436 69
1358 6714 8
1359 466 3
1359 5731 89
1359 7541 32
1359 7590 91
1359 7593 43
1360 747 39
1360 802 78
1360 1583 93
1360 2814 54
1360 7644 70
1361 1382 65
1361 2316 98
1361 2756 14
1361 4947 7
1361 5345 1
1361 5545 14
1361 7338 69
1362 1914 56
1362 2834 76
1362 4685 96
1362 4895 68
1362 7081 86
1362 7799 20
1363 28 84
1363 2523 55
1363 2628 29
1363 5079 3
1363 9802 69
1364 2296 46
1364 5947 35
1364 6141 99
1364 6498 8
1365 431 63
1365 1449 32
1365 2125 4
1365 6178 27
1365 8479 24
1366 1364 33
1366 1921 8
1366 2265 52
1366 4191 45
1366 8175 24
1367 529 78
1367 4140 3
1367 6896 92
1367 8453 77
1367 9385 77
1368 364 34
1368 1559 87
1368 3595 6
1368 5133 9
1368 6641 82
1368 8043 10
1368 8138 58
1368 8841 51
1368 9346 87
1369 93 24
1369 1244 94
1369 3016 73
1369 3650 32
1369 6120 13
1369 8685 90
1370 1841 89
1370 2138 81
1371 329 30
1371 3264 38
1371 4039 4
1371 5444 7
1371 6012 7
1371 8398 94
1372 1525 58
1372 2003 33
1372 2539 50
1372 5503 85
1372 5722 35
1372 7094 26
1373 34 59
1373 116 27
1373 750 60
1373 2739 16
1373 3019 25
1373 5238 54
1373 7039 13
1373 7340 23
1373 9894 28
1374 786 9
1374 1538 67
1374 2548 83
1374 3820 11
1374 4646 20
1374 4942 32
1374 6206 4
1374 6763 44
1374 7549 49
1375 59 45
1375 6286 45
1375 7214 41
1376 102 51
1376 1517 33
1376 3137 6
1376 3872 87
1376 6457 17
1376 7452 36
1376 7951 96
1376 9736 21
1376 9806 94
1377 4040 17
1377 8326 67
1378 142 20
1378 4709 3
1378 9176 36
1379 255 14
1379 1185 43
1379 1825 57
1379 2942 18
1379 6013 58
1379 6104 99
1379 7669 85
1379 7923 39
1379 9541 8
1380 1920 67
1380 2574 81
1380 8730 7
1381 139 9
1381 707 51
1381 951 5
1381 1821 89
1381 2065 72
1381 4505 71
1382 1444 61
1382 4363 81
1382 6260 89
1382 7942 82
1383 2223 43
1383 2971 48
1383 5243 19
1383 5270 70
1383 6484 3
1383 8297 19
1383 8797 33
1383 9198 42
1384 37 66
1384 531 26
1384 4173 82
1384 4888 64
1384 6914 19
1385 1054 85
1385 7262 84
1385 7649 79
1385 9154 62
1386 1998 75
1386 3371 23
1386 7833 60
1387 349 92
1387 541 56
1387 1688 81
1387 8961 42
1388 7139 97
1388 7338 8
1388 9076 17
1389 1524 3
1389 1668 88
1389 2742 15
1389 3909 68
1389 4086 5
1389 8533 35
1390 8392 5
1391 3703 62
1391 6139 35
1391 7449 40
1391 7926 20
1391 8900 57
1392 801 11
1392 1751 13
1392 2690 10
1392 3258 84
1392 9568 20
1393 347 50
1393 562 96
1393 718 11
1393 2267 68
1393 6704 66
1393 9241 44
1394 692 44
1394 6183 0
1394 7948 86
1394 8877 8
1395 1630 42
1395 7308 66
1395 8067 51
1395 9061 68
1396 170 96
1396 6853 58
1396 8215 61
1396 9456 45
1396 9697 2
1396 9775 67
1397 1997 56
1397 2225 39
1397 4673 14
1397 6601 50
1397 7867 20
1397 7988 51
1398 4234 35
1398 5720 27
1398 6330 7
1398 7253 9
1398 9282 43
1399 188 63
1399 1934 14
1399 4782 22
1399 7323 19
1399 8469 38
1399 9555 26
1401 3332 45
1401 7866 17
1401 9154 71
1401 9500 22
1402 999 45
1402 4713 16
1402 9133 91
1403 409 51
1403 755 39
1403 2124 73
1403 2223 5
1403 2958 78
1403 7808 49
1403 8134 21
1404 2069 58
1405 53 71
1405 693 34
1405 829 62
1405 1626 53
1405 3687 24
1405 5936 40
1405 6576 39
1405 7463 12
1405 8025 62
1405 9820 67
1406 492 79
1406 1215 84
1406 1655 52
1406 2679 28
1406 2755 38
1406 4883 99
1406 6007 69
1407 2668 73
1407 5429 88
1407 5751 55
1408 3733 42
1408 5346 93
1409 1307 83
1409 1317 66
1410 1018 28
1410 2383 88
1410 3470 49
1410 3668 20
1410 6417 56
1410 6902 57
1410 8463 48
1411 6040 50
1411 8250 50
1412 1658 74
1412 3447 3
1412 6155 66
1412 8076 8
1412 8082 34
1413 134 38
1413 5829 38
1413 6889 65
1413 9894 16
1414 944 57
1414 2058 68
1414 3472 24
1414 4589 39
1414 5550 50
1414 7174 19
1414 7263 71
1414 8408 30
1414 9554 79
1415 913 42
1415 1291 53
1415 6162 96
1415 8703 42
1415 9383 11
1415 9670 49
1416 363 93
1416 1867 18
1416 3115 63
1416 3452 8
1416 6446 2
1416 6683 4
1416 8649 77
1417 956 67
1417 1463 53
1417 2305 77
1417 2581 22
1417 2895 35
1417 5052 0
1417 5211 32
1417 9478 23
1418 4 76
1418 1704 67
1418 2482 64
1418 7624 44
1419 3308 12
1419 7341 26
1420 1997 50
1420 3919 36
1420 6043 65
1420 9594 31
1421 2912 67
1421 3506 14
1421 3574 33
1421 7481 22
1421 7903 89
1421 8934 7
1422 2207 1
1422 2754 51
1422 7981 92
1423 696 28
1423 822 24
1423 4413 96
1423 4890 24
1423 5229 74
1423 7291 23
1423 7999 41
1423 9810 84
1423 9880 78
1424 835 75
1424 2444 67
1424 3527 81
1424 5256 46
1424 5986 53
1424 7361 75
1424 7868 91
1424 8772 31
1425 5762 32
1425 6298 40
1425 6299 66
1425 8493 91
1425 8701 33
1426 5869 72
1426 5991 97
1426 6353 51
1426 8617 57
1426 8706 55
1426 9582 95
1426 9864 4
1427 1195 58
1427 2194 49
1427 6599 72
1427 7265 37
1427 7906 95
1427 9355 60
1428 4124 81
1428 4483 59
1428 5158 53
1428 5890 41
1428 6233 55
1428 8246 67
1428 9103 49
1428 9395 18
1429 555 10
1429 5385 52
1430 1450 49
1430 7669 59
1431 1499 26
1431 2476 91
1431 5420 43
1431 5757 95
1431 7631 95
1432 6768 75
